# Sleeper player IDs. One "id,name" per line; blank lines and # comments ignored.
6786,CeeDee Lamb
11604,Brock Bowers
12512,Quinshon Judkins
8155,Breece Hall
9509,Bijan Robinson
4046,Patrick Mahomes
12711,Tyler Loop
3973,Myles Garrett
7640,Micah Parsons
