# Sleeper player IDs. Header row "id,name,position,team", then one record per line; blank lines and # comments ignored.
id,name,position,team
2133,Davante Adams,WR,LAR
9488,Jaxon Smith-Njigba,WR,SEA
12506,Harold Fannin,TE,CLE
4034,Christian McCaffrey,RB,SF
9224,Chase Brown,RB,CIN
8183,Brock Purdy,QB,SF
8259,Cameron Dicker,K,LAC
10917,Byron Young,LB,LAR
5862,Brian Burns,DE,NYG
