# Sleeper player IDs. One "id,name" per line; blank lines and # comments ignored.
7564,Ja'Marr Chase
7553,Kyle Pitts
12534,Kyle Monangai
6813,Jonathan Taylor
3198,Derrick Henry
6904,Jalen Hurts
11786,Cam Little
12585,James Pearce
10892,Will Anderson
