# Sleeper player IDs. One "id,name" per line; blank lines and # comments ignored.
4046,Patrick Mahomes
4984,Josh Allen
3163,Jared Goff
6770,Joe Burrow
3294,Dak Prescott
5870,Daniel Jones
6797,Justin Herbert
11563,Bo Nix
11566,Jayden Daniels
