# Sleeper player IDs. One "id,name" per line; blank lines and # comments ignored.
2133,Davante Adams
9488,Jaxon Smith-Njigba
12506,Harold Fannin
4034,Christian McCaffrey
9224,Chase Brown
8183,Brock Purdy
8259,Cameron Dicker
10917,Byron Young
5862,Brian Burns
